Feature,Coefficient
occhmk,0.029007974688012188
raceBl,-0.01626745633712896
miscar,0.04162638948197642
trypreg,0.005738021595173471
ed12,0.06481299156157541
divertic_f,0.014683719518571926
bronchit_f,0.07004066419998098
ovariesr_f,0.013745841553424166
diabetes_f,0.09497898150795468
marwid,-0.018634283620734618
thorm,-0.14246772546450287
tuballig,-0.030198078650155433
hystera,-0.0018194523692273501
tubal,0.02803390719586294
weight20_f,0.013765227421782874
fmenstr,0.01962892316841098
curhorm,0.060831553729436875
hearta_f,0.0952986103220687
endometriosis,0.049138379352730494
marsep,-0.06523900327539557
horm_f,-0.04618809702858176
bcontra,0.053814093087646314
gender,0.0
occesl,-0.03928372431000423
ibuppd,-0.018208816811004922
lung_is_first_dx,0.9230093267671663
stroke_f,0.0994243775171143
benign_ovcyst,0.011034727660119224
raceHis,-0.014981101369854768
osteopor_f,0.03299607205660548
livec,-0.13144336539548696
occret,0.030175939044893896
racePI,-0.004591688243503622
edcol,-0.03531257656882269
arthrit_f,-0.015928320300693015
edscol,-0.11600305981110845
marmar,0.019579607859542443
trial_ph_lung,0.18280275459643788
colon_comorb,-0.035432984120651795
occoth,-0.061644265325427876
pack_years,0.0705333128587018
preg_f,-0.002670305171240204
edpcol,0.04647404674498017
stillb,0.03911325354633525
raceWh,0.045408512334297775
raceMis,-0.007644904513802797
raceAs,-0.03378647693266475
occwrk,-0.03585006213573345
emphys_f,-0.004194406231070045
edlt8,0.1249752221366556
edphs,-0.024816105333555976
occdis,0.0390736993021661
lung_fh,0.08480051465045145
cig_stop,-0.09102359920952924
SMKEV,-0.03280861392592213
bmi_curr,-0.13578894864474256
uterine_fib,0.07498818461242356
SMKNOW,-0.003282441297377231
liver_comorb,0.058113656957839606
hyperten_f,-0.005129126627126743
occune,-0.06283215156940425
asppd,0.00445747348017793
gallblad_f,0.05766482186692344
lung_fh_age,0.011389129469947634
fchilda,0.01113954535292148
raceAI,-0.04372490539973809
age,-0.008256670741830337
mardiv,-0.0019212210510404018
marnvm,-0.0220963406614205
bbd,0.04926503193938129
bcontr_f,-0.03805240543699651
polyps_f,-0.07103159186453173
ed8t11,0.02494014842848764
